productId,productName,productPrice,productImageURL,productImage,productDesc,categoryId
36,Summerhill Cipes Blanc de Noir,34.21,,,"White sparkling wine from Pinot Noir grapes, raspberry Campino candies with a little funk",4
37,Dessert Hills Ambassador Port (style wine),48.72,,,"It's not Port, it's Port-style wine (try suing us now Portugal!). Opulent dark fruit and sweet spice, enjoy in front of a fireplace in a velvet robe",5
38,Chateau D'armajan Sauternes,52.78,,,"The OGs of the botrytis game, this Sauvignon Blanc dessert wine is exactly what it should be: luscious, packed with citrus, and totally funky",5
39,Lake Breeze Chinook,36.78,,,"A fortified Ehrenfelser, a juxtaposition of tropical fruit, luscious sweetness, and a biting finish",5
40,Stag's Hollow Royal,47.23,,,"Always one to defy expectations, this winery's solera-aged Muscat resists labels",5
41,Spearhead Botrytis Affected Late Harvest Riesling,34.68,,,"A happy accident: a few days of dense fog allowed Botrytis to infect a small portion of the Riesling crop, resulting in beautiful funkiness",5
42,Hainle Riesling Icewine,105.92,,,"The first winery to make Icewine in Canada in 1976, their current winemaker follows his ancestor's instructions in a book written in German from the 1400s",5
43,Stoneboat Verglas,68.72,,,"The name referring to the thin sheet of ice that covers frozen grapes, this winery was doubly lucky having both the conditions for Botrytis to develop as well as Icewine temperatures",5
44,La Frenz Tawny,34.67,,,"Using a solera system, this Tawny Port-style wine is the perfect accompaniment to Christmas Eve by a fireplace",5
45,D'Angelo Dolce Vita Rosso,37.92,,,"Start with Naramata grown Tempranillo, fortify with brandy made from the same grapes, and finish with a pinch of Tempranillo Icewine and you end up with a totally unique wine",5
46,Okanagan Crush Pad Narrative Fortified,47.87,,,"The epitome of DIY, Syrah and Merlot is fermented in concrete eggs, then fortified with brandy made on-site",5
47,Riesling Degustazione Glass,26.99,,,"Classic but elegant, hand-blown crystal allows you to enjoy your fine vintage in style",6
48,Riesling Ouverture Double Magnum Glass,47.99,,,"Your friend Jim with the $10,000 Bordeaux collection will find these glasses ""acceptable""",6
49,Classic White Glass,12.99,,,"Pour a glass of Chardonnay, and find a Ryan Reynolds movie on Netflix",6
50,ISO Glass - WSET Edition,4.99,,,"Small but mighty, feel like a professional using these WSET approved tasting glasses. Also great for Port!",6
51,K Glass,8,,,"You might not be able to swirl well with them, but who cares when you slay rose on the patio",6
52,Wine Pump,24.99,,,"Pump out that nasty oxygen, keeping your wine fresher longer. Includes three pump caps",6
53,Waiter's Corkscrew,10.99,,,"A waiter and bartender's best friend, this crank will never let you down when you're in the weeds",6
54,Chrome Ratchet Corkscrew,38.99,,,For when you're dressed to impress and a simple waiter's corkscrew won't do,6
55,Canvas Bag,2,,,Save the environment in style. Holds two bottles!,6
